idCliente,idServidor,velocidad,distancia
275,282,600,10
276,282,300,1
277,282,600,7
278,282,900,4
279,282,600,3
280,282,900,9
281,282,300,2
283,286,900,6
284,286,900,7
285,286,600,1
287,293,600,6
288,293,300,5
289,293,300,2
290,293,600,1
291,293,900,3
292,293,300,7
296,299,600,6
297,299,300,9
298,299,900,7
2,36,1000,973
2,62,3000,685
2,85,3000,337
2,95,3000,124
2,134,1000,337
2,144,1000,600
2,163,3000,363
2,169,2000,486
2,170,1000,497
2,179,1000,152
2,191,2000,732
2,193,3000,215
2,219,3000,64
2,227,1000,592
2,229,3000,496
2,232,1000,795
2,293,1000,504
2,294,2000,495
2,299,3000,250
6,16,3000,645
6,18,2000,62
6,29,3000,548
6,62,3000,895
6,142,1000,994
6,145,2000,688
6,151,2000,307
6,163,3000,156
6,189,2000,46
6,227,3000,297
6,229,1000,708
6,232,3000,449
6,237,1000,259
6,294,2000,532
6,295,2000,825
16,25,2000,145
16,37,1000,95
16,73,2000,135
16,144,1000,746
16,145,2000,81
16,177,2000,943
16,180,3000,725
16,189,1000,94
16,191,2000,435
16,192,1000,856
16,206,1000,12
16,207,1000,95
16,217,1000,923
16,219,3000,167
16,220,1000,291
16,232,1000,890
16,239,2000,374
16,250,3000,302
16,293,1000,58
16,294,2000,518
16,295,3000,727
17,26,1000,327
17,36,1000,555
17,52,1000,800
17,162,2000,783
17,189,2000,440
17,191,3000,845
17,232,1000,894
17,247,3000,637
17,250,3000,960
17,251,2000,266
17,299,2000,461
18,36,3000,346
18,37,3000,364
18,134,1000,836
18,137,3000,679
18,145,3000,496
18,160,3000,949
18,192,3000,108
18,251,2000,611
25,37,1000,241
25,50,2000,790
25,59,3000,527
25,73,2000,290
25,134,3000,257
25,179,3000,551
25,200,2000,956
25,206,2000,915
25,229,3000,976
25,237,2000,70
25,247,2000,301
25,268,1000,431
25,286,3000,979
25,294,2000,465
26,29,3000,270
26,46,3000,331
26,50,3000,21
26,52,2000,109
26,62,2000,586
26,95,2000,45
26,99,2000,422
26,119,2000,260
26,144,1000,648
26,162,1000,373
26,180,3000,527
26,192,1000,204
26,200,3000,186
26,229,2000,708
26,251,1000,655
29,46,2000,941
29,54,3000,52
29,59,2000,840
29,73,2000,421
29,137,3000,435
29,144,1000,292
29,147,3000,132
29,149,1000,629
29,162,3000,217
29,177,1000,303
29,191,3000,736
29,229,2000,129
29,239,2000,424
29,282,2000,455
29,299,3000,807
36,37,2000,887
36,52,3000,219
36,54,2000,426
36,58,3000,62
36,73,1000,854
36,119,3000,554
36,145,2000,632
36,149,1000,568
36,160,3000,235
36,177,1000,754
36,180,1000,557
36,181,2000,464
36,217,3000,84
36,219,2000,951
36,232,2000,929
36,237,2000,880
36,239,2000,353
36,250,2000,23
36,251,2000,25
36,286,2000,866
36,294,1000,192
37,73,1000,677
37,85,1000,523
37,95,3000,354
37,147,1000,80
37,149,1000,698
37,169,2000,399
37,181,2000,346
37,189,1000,351
37,191,1000,989
37,192,1000,484
37,193,3000,119
37,242,3000,914
37,248,2000,632
37,250,2000,154
37,268,2000,227
46,62,1000,330
46,119,1000,639
46,134,1000,262
46,160,1000,440
46,162,2000,300
46,163,2000,501
46,191,1000,717
46,200,1000,689
46,207,3000,611
46,217,2000,290
46,219,2000,903
46,220,3000,211
46,237,2000,77
46,247,2000,157
46,293,1000,245
46,295,3000,342
50,58,1000,503
50,73,1000,99
50,119,1000,926
50,134,2000,181
50,147,1000,7
50,151,2000,272
50,160,3000,845
50,162,2000,601
50,179,2000,873
50,189,3000,632
50,193,3000,170
50,206,1000,200
50,220,1000,975
50,229,3000,731
50,232,2000,933
50,242,2000,6
50,268,3000,499
50,286,3000,719
50,293,3000,968
52,59,2000,721
52,130,1000,55
52,141,2000,1000
52,144,2000,536
52,149,3000,469
52,154,1000,987
52,162,3000,691
52,179,3000,349
52,181,2000,747
52,200,3000,447
52,206,2000,668
52,227,3000,703
52,248,1000,391
52,282,3000,170
52,294,1000,443
54,59,1000,830
54,85,3000,566
54,130,3000,1
54,144,3000,718
54,147,3000,182
54,149,2000,90
54,162,1000,256
54,169,2000,799
54,170,3000,372
54,179,2000,430
54,181,1000,411
54,217,1000,2
54,239,1000,983
54,248,2000,436
54,268,2000,903
54,282,3000,659
58,73,2000,94
58,99,1000,301
58,141,1000,415
58,177,3000,865
58,180,2000,390
58,227,2000,250
58,242,1000,642
58,282,2000,953
58,295,3000,391
59,62,1000,538
59,95,3000,327
59,119,2000,422
59,130,1000,592
59,134,1000,817
59,141,1000,805
59,154,2000,274
59,162,1000,617
59,179,2000,606
59,191,2000,311
59,229,2000,636
59,239,2000,600
59,268,3000,695
59,282,3000,714
59,295,1000,118
62,73,1000,105
62,95,1000,958
62,99,2000,211
62,119,2000,325
62,130,3000,52
62,144,2000,584
62,147,3000,769
62,169,2000,892
62,189,3000,390
62,191,2000,678
62,200,2000,595
62,206,3000,508
62,232,3000,502
62,237,1000,599
62,247,2000,325
62,251,3000,189
62,286,3000,271
73,130,1000,872
73,134,3000,281
73,154,1000,310
73,179,3000,956
73,180,3000,668
73,192,3000,245
73,227,2000,954
73,229,3000,568
73,237,1000,833
73,239,1000,250
73,247,1000,377
85,95,1000,166
85,145,1000,218
85,147,1000,331
85,149,2000,339
85,154,3000,905
85,189,3000,139
85,192,1000,921
85,217,1000,254
85,250,2000,748
85,282,1000,52
95,130,1000,248
95,134,3000,140
95,147,2000,121
95,149,3000,688
95,163,3000,25
95,181,1000,942
95,200,2000,190
95,247,1000,615
95,248,1000,846
95,282,2000,481
99,147,3000,421
99,160,2000,295
99,162,2000,689
99,191,1000,782
99,206,3000,239
99,217,3000,248
99,219,3000,328
99,227,3000,458
99,247,1000,388
99,268,2000,354
119,169,2000,136
119,170,1000,907
119,179,1000,959
119,181,2000,137
119,193,1000,571
119,286,3000,362
130,141,2000,611
130,151,2000,409
130,170,3000,843
130,181,1000,472
130,192,2000,445
130,217,3000,715
130,229,3000,745
130,282,3000,930
130,294,2000,110
130,299,2000,342
134,147,3000,260
134,149,2000,637
134,154,3000,347
134,163,1000,200
134,169,3000,448
134,179,2000,835
134,181,2000,980
134,189,1000,469
134,193,2000,885
134,207,2000,87
134,220,3000,838
134,247,2000,136
134,282,3000,720
134,293,3000,420
134,299,1000,804
137,141,2000,575
137,144,3000,714
137,145,2000,210
137,154,1000,353
137,179,1000,221
137,191,1000,122
137,193,1000,604
137,229,1000,461
137,232,1000,217
137,237,3000,474
141,144,2000,160
141,145,1000,965
141,147,3000,716
141,162,1000,474
141,163,3000,751
141,169,1000,961
141,177,3000,337
141,179,2000,348
141,189,2000,706
141,191,2000,268
141,193,1000,506
141,206,3000,996
141,217,1000,880
141,227,2000,59
141,268,1000,971
141,286,3000,692
141,295,3000,871
141,299,3000,245
142,147,2000,958
142,177,3000,692
142,181,1000,612
142,189,3000,917
142,200,2000,119
142,206,3000,519
142,219,1000,199
142,229,1000,179
142,237,2000,776
142,239,2000,821
142,293,3000,898
142,294,3000,424
144,147,2000,882
144,149,1000,457
144,181,2000,582
144,192,3000,715
144,220,3000,984
144,227,1000,509
144,268,3000,777
144,286,1000,482
144,294,3000,18
144,295,2000,251
145,162,3000,872
145,206,2000,392
145,242,3000,293
145,247,1000,89
145,248,3000,13
145,250,1000,106
145,268,1000,862
145,282,2000,899
147,149,2000,182
147,163,3000,742
147,180,2000,707
147,193,2000,622
147,200,2000,876
147,227,2000,843
147,299,3000,200
149,177,2000,541
149,181,1000,365
149,191,1000,271
149,232,1000,27
149,250,1000,110
149,282,2000,227
149,286,2000,63
149,295,1000,744
149,299,2000,401
151,154,1000,717
151,160,2000,422
151,170,1000,388
151,219,2000,731
151,220,2000,423
151,293,1000,578
151,294,3000,775
154,160,3000,61
154,179,2000,656
154,191,3000,317
154,192,1000,202
154,206,3000,779
154,237,1000,25
154,239,3000,407
154,242,1000,356
154,250,1000,347
154,268,1000,410
154,299,1000,300
160,162,2000,582
160,163,1000,587
160,206,1000,320
160,219,3000,939
160,220,1000,233
160,227,2000,254
160,247,1000,237
160,251,2000,422
160,294,3000,988
162,163,2000,872
162,170,2000,549
162,200,1000,581
162,207,3000,737
162,242,2000,840
162,250,3000,866
162,282,1000,1000
163,170,3000,739
163,181,1000,32
163,207,3000,464
163,239,3000,157
163,251,1000,479
163,299,1000,810
169,219,1000,656
169,239,2000,42
169,242,1000,276
169,248,1000,847
169,250,1000,871
169,299,3000,603
170,177,2000,536
170,189,1000,832
170,200,2000,575
170,217,3000,613
170,227,3000,342
170,232,3000,405
170,247,3000,339
170,250,2000,19
170,251,1000,966
170,282,3000,406
170,286,2000,957
177,180,3000,130
177,189,2000,9
177,191,3000,764
177,192,3000,765
177,227,1000,165
177,232,1000,545
177,248,3000,567
177,268,2000,751
177,286,2000,596
179,207,2000,273
179,219,2000,362
179,237,2000,26
179,268,2000,285
179,282,3000,213
180,191,2000,940
180,192,2000,532
180,286,1000,641
180,293,2000,249
180,294,2000,366
180,299,1000,707
181,189,1000,381
181,232,2000,403
181,237,1000,706
181,247,3000,465
189,268,1000,927
189,286,2000,16
189,294,3000,135
189,295,3000,676
191,192,3000,888
191,193,3000,643
191,200,1000,552
191,207,2000,696
191,237,1000,958
191,242,2000,102
191,248,2000,838
191,251,2000,301
191,268,1000,552
192,206,3000,422
192,207,3000,410
192,220,1000,18
192,268,3000,870
192,282,1000,839
192,286,1000,796
192,299,1000,902
193,232,1000,703
193,237,3000,564
193,242,3000,264
193,247,3000,386
193,248,3000,441
193,286,1000,597
193,293,3000,416
193,294,3000,930
200,229,2000,543
200,250,2000,693
200,268,3000,979
200,295,2000,926
200,299,2000,803
206,220,1000,326
206,282,2000,973
206,293,1000,792
207,217,2000,547
207,229,2000,303
207,242,1000,691
207,251,3000,418
207,294,3000,255
207,295,2000,872
217,247,3000,558
217,286,1000,373
217,295,3000,641
219,247,1000,999
219,250,1000,211
220,229,3000,972
220,232,3000,927
220,282,2000,903
227,229,1000,529
227,250,3000,1000
227,268,2000,689
227,294,3000,134
227,295,2000,217
229,248,1000,708
229,268,3000,777
232,237,3000,597
232,268,2000,629
232,294,2000,936
237,247,2000,764
237,268,3000,546
239,282,1000,258
239,294,3000,638
239,295,1000,34
242,251,3000,868
242,268,1000,82
242,282,1000,478
242,293,1000,342
247,248,3000,143
247,251,3000,44
247,268,3000,346
247,286,1000,3
247,293,1000,640
247,295,1000,667
247,299,2000,77
248,268,3000,653
248,282,3000,711
248,286,2000,389
248,294,3000,758
250,282,3000,771
251,282,3000,836
251,293,1000,568
251,299,2000,338
268,294,3000,416
282,293,2000,845
286,293,2000,577
286,294,3000,315
293,294,3000,675
293,295,3000,511
